,Type,timestamp,posX,posY,receivedPosX,receivedPosY,isForwardPass,isSucceeded,receiverId,playerId,receiverTime
0,Pass,2024-10-19 10:25:51.603,51.79,34.06,59.41,32.32,0.0,1.0,97351.0,97355,2024-10-19 10:25:51.801000
1,Pass,2024-10-19 10:25:54.207,60.43,31.64,77.19,33.73,0.0,1.0,97347.0,97351,2024-10-19 10:25:54.207000
2,Pass,2024-10-19 10:26:11.846,79.78,27.18,45.89,-2.5,1.0,0.0,0.0,97347,0
3,Pass,2024-10-19 10:26:15.805,39.95,-0.05,27.39,8.33,0.0,1.0,97370.0,97368,2024-10-19 10:26:15.805000
4,Pass,2024-10-19 10:26:20.314,25.82,14.56,23.01,40.33,0.0,1.0,97369.0,97370,2024-10-19 10:26:20.409000
5,Pass,2024-10-19 10:26:27.866,22.34,40.71,-2.13,41.75,0.0,0.0,0.0,97369,0
6,Pass,2024-10-19 10:26:44.522,28.46,43.43,43.96,40.75,0.0,1.0,97347.0,97355,2024-10-19 10:26:44.601000
7,Pass,2024-10-19 10:26:51.175,44.99,41.5,30.94,59.8,0.0,1.0,97359.0,97347,2024-10-19 10:26:51.203000
8,TacklesAndInterceptions,2024-10-19 10:26:58.821,19.0,52.79,,,,,0.0,97369,0
9,Pass,2024-10-19 10:26:58.921,29.19,61.12,19.85,52.83,1.0,0.0,0.0,97359,0
10,Pass,2024-10-19 10:27:04.771,19.0,52.79,32.15,49.73,1.0,1.0,97373.0,97369,2024-10-19 10:27:04.832000
11,Pass,2024-10-19 10:27:13.876,42.38,46.29,56.56,68.35,0.0,0.0,0.0,97373,0
12,Pass,2024-10-19 10:27:38.344,50.8,21.62,54.29,27.9,0.0,0.0,0.0,97352,0
13,Pass,2024-10-19 10:27:43.004,56.74,32.13,65.28,32.39,0.0,1.0,97347.0,97356,2024-10-19 10:27:43.004000
14,Pass,2024-10-19 10:27:43.806,67.49,32.38,53.26,35.26,1.0,0.0,0.0,97347,0
15,Pass,2024-10-19 10:27:53.400,14.19,54.95,9.82,40.67,0.0,1.0,97358.0,97353,2024-10-19 10:27:53.400000
16,Pass,2024-10-19 10:27:52.703,5.09,42.62,8.66,49.59,0.0,1.0,97355.0,97358,2024-10-19 10:27:52.800000
17,Pass,2024-10-19 10:27:53.000,9.34,50.3,6.33,58.4,0.0,1.0,97353.0,97355,2024-10-19 10:27:53.203000
18,Pass,2024-10-19 10:27:55.269,5.09,55.11,23.48,57.44,0.0,1.0,97359.0,97353,2024-10-19 10:27:55.401000
19,Pass,2024-10-19 10:27:57.000,19.35,57.12,17.43,50.56,0.0,0.0,0.0,97359,0
20,TacklesAndInterceptions,2024-10-19 10:27:57.000,17.31,53.42,,,,,0.0,97373,0
21,Pass,2024-10-19 10:28:08.213,25.18,2.18,34.42,4.37,1.0,1.0,97376.0,97368,2024-10-19 10:28:08.401000
22,Pass,2024-10-19 10:28:12.127,33.72,5.38,39.86,0.34,1.0,1.0,97368.0,97376,2024-10-19 10:28:12.127000
23,Pass,2024-10-19 10:28:12.007,37.52,1.32,40.4,0.69,1.0,1.0,97376.0,97368,2024-10-19 10:28:12.203000
24,Pass,2024-10-19 10:28:19.672,46.63,-0.02,49.15,-2.87,0.0,0.0,0.0,97376,0
25,Pass,2024-10-19 10:28:39.265,49.12,-3.93,-3.65,38.64,1.0,0.0,0.0,97351,0
26,Pass,2024-10-19 10:29:22.802,9.87,0.86,8.86,5.66,0.0,1.0,97355.0,97352,2024-10-19 10:29:22.802000
27,Pass,2024-10-19 10:29:23.201,9.85,6.79,8.52,1.87,0.0,1.0,97352.0,97355,2024-10-19 10:29:23.404000
28,Pass,2024-10-19 10:29:27.811,4.04,2.58,-1.23,15.55,0.0,0.0,0.0,97352,0
29,Pass,2024-10-19 10:29:55.002,16.28,30.97,21.62,35.06,0.0,1.0,97358.0,97347,2024-10-19 10:29:55.201000
30,TacklesAndInterceptions,2024-10-19 10:30:06.803,20.11,13.27,,,,,0.0,97368,0
31,Pass,2024-10-19 10:30:06.803,23.65,15.5,18.6,12.11,1.0,0.0,0.0,97358,0
32,Pass,2024-10-19 10:30:10.201,15.95,6.19,36.48,-1.43,1.0,0.0,0.0,97368,0
33,Pass,2024-10-19 10:30:16.805,40.19,1.38,40.97,-2.48,0.0,0.0,0.0,97352,0
34,Pass,2024-10-19 10:30:23.202,36.6,0.41,22.48,5.69,1.0,1.0,96901.0,97356,2024-10-19 10:30:23.407000
35,Pass,2024-10-19 10:30:27.600,22.72,4.19,18.14,14.19,0.0,0.0,0.0,96901,0
36,TacklesAndInterceptions,2024-10-19 10:30:25.601,18.62,14.35,,,,,0.0,97373,0
37,Pass,2024-10-19 10:30:27.203,17.3,13.68,21.05,7.5,0.0,1.0,97368.0,97373,2024-10-19 10:30:27.400000
38,TacklesAndInterceptions,2024-10-19 10:30:40.400,34.4,52.34,,,,,0.0,96901,0
39,Pass,2024-10-19 10:30:40.507,17.14,33.8,33.58,54.0,0.0,0.0,0.0,97369,0
40,Pass,2024-10-19 10:31:31.603,46.93,24.46,41.23,27.55,1.0,1.0,97355.0,97347,2024-10-19 10:31:31.802000
41,Pass,2024-10-19 10:31:32.602,39.08,26.45,44.68,29.85,0.0,1.0,96901.0,97355,2024-10-19 10:31:32.809000
42,Pass,2024-10-19 10:31:36.200,45.85,31.76,14.45,15.92,1.0,1.0,97358.0,96901,2024-10-19 10:31:36.201000
43,Pass,2024-10-19 10:31:41.001,12.37,10.89,14.16,28.9,0.0,0.0,0.0,97358,0
44,Pass,2024-10-19 10:32:21.363,14.05,29.74,-3.11,40.22,0.0,0.0,0.0,97369,0
45,Pass,2024-10-19 10:32:34.802,79.74,13.48,70.85,8.1,1.0,1.0,97352.0,97356,2024-10-19 10:32:34.802000
46,Pass,2024-10-19 10:32:35.602,70.7,7.37,77.28,11.25,0.0,1.0,97356.0,97352,2024-10-19 10:32:35.602000
47,Pass,2024-10-19 10:32:58.410,23.58,13.96,19.24,30.68,0.0,1.0,97369.0,97370,2024-10-19 10:32:58.410000
48,Pass,2024-10-19 10:32:58.410,18.08,34.0,20.74,16.73,0.0,1.0,97370.0,97369,2024-10-19 10:32:58.805000
49,Pass,2024-10-19 10:33:32.801,20.37,16.98,31.22,68.55,0.0,0.0,0.0,97370,0
50,Pass,2024-10-19 10:33:48.959,17.58,64.66,24.06,27.36,0.0,1.0,97368.0,96905,2024-10-19 10:33:49.000000
51,Pass,2024-10-19 10:34:03.209,67.56,38.42,30.2,22.74,1.0,1.0,97358.0,97347,2024-10-19 10:34:03.401000
52,TacklesAndInterceptions,2024-10-19 10:34:04.415,23.98,19.59,,,,,0.0,97370,0
53,Pass,2024-10-19 10:34:05.809,22.15,18.23,21.23,22.1,0.0,1.0,97368.0,97370,2024-10-19 10:34:06.000000
54,Pass,2024-10-19 10:34:10.008,24.48,28.1,27.88,29.11,1.0,0.0,0.0,97368,0
55,TacklesAndInterceptions,2024-10-19 10:34:10.008,28.5,29.26,,,,,0.0,97351,0
56,Pass,2024-10-19 10:34:11.200,27.65,29.89,25.46,26.52,0.0,0.0,0.0,97351,0
57,Pass,2024-10-19 10:34:43.200,21.89,19.9,22.73,34.82,0.0,1.0,97353.0,97358,2024-10-19 10:34:43.200000
58,Pass,2024-10-19 10:34:45.806,28.64,29.9,27.5,23.06,0.0,1.0,97358.0,97353,2024-10-19 10:34:46.010000
59,Shot,2024-10-19 10:34:47.611,27.14,22.09,,,,,0.0,97358,0
60,TacklesAndInterceptions,2024-10-19 10:34:53.804,8.36,15.99,,,,,0.0,97370,0
61,Pass,2024-10-19 10:34:57.210,10.71,16.58,17.27,20.98,1.0,0.0,0.0,97370,0
62,TacklesAndInterceptions,2024-10-19 10:34:57.001,20.83,22.76,,,,,0.0,97351,0
63,Pass,2024-10-19 10:35:07.204,48.51,27.94,42.81,31.97,1.0,1.0,97356.0,97347,2024-10-19 10:35:07.800000
64,Pass,2024-10-19 10:35:10.000,38.95,30.08,30.3,33.98,1.0,0.0,0.0,97356,0
65,TacklesAndInterceptions,2024-10-19 10:35:10.000,28.95,34.13,,,,,0.0,97369,0
66,Pass,2024-10-19 10:35:13.800,36.03,35.9,44.33,41.83,1.0,1.0,97372.0,97369,2024-10-19 10:35:13.800000
