Event,Timestamp,Result,Type,Pass Outcome,Shot outcome,Pressure,Player Name,Shirt Number,Team Name,Start Position X,Start Position Y,Foot used,Receiver Name,Receiver Shirt Number,End Position X,End Position Y,Defensive Action,Side,Distribution,Goal Location,Booking,Game_State,length_x,length_y,length_euclidean,angle_degrees,direction
Game_State,00:15:18:000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1st Half Start,,,,,
Pass,00:15:18:860,Successful,Basic,-,-,Low,Elvi,9,Helmond Sport O17,50,50,-,Jorg,3,27,53,-,-,-,-,-,-,-23,3,23,172.6,backward
Pass,00:15:22:080,Successful,Basic,-,-,Medium,Jorg,3,Helmond Sport O17,26,48,-,Wessel,4,25,26,-,-,-,-,-,-,-1,-22,22,-92.6,lateral
Pass,00:15:24:970,Successful,Basic,-,-,Medium,Wessel,4,Helmond Sport O17,26,28,-,Jorg,3,22,57,-,-,-,-,-,-,-4,29,29,97.9,lateral
Pass,00:15:28:470,Successful,Basic,-,-,High,Jorg,3,Helmond Sport O17,24,64,-,Keano,12,30,90,-,-,-,-,-,-,6,26,27,77.0,lateral
Pass,00:15:31:160,Unsuccessful,Basic,-,-,High,Keano,12,Helmond Sport O17,32,92,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:15:31:950,Successful,-,-,-,-,Rayaan Lakbibchi,8,Den Bosch O17,47,88,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:15:33:010,Successful,Basic,-,-,High,Rayaan Lakbibchi,8,Den Bosch O17,46,96,-,Keyane Ait Bahmad,14,39,90,-,-,-,-,-,-,-7,-6,9,-139.4,backward
Defensive Action,00:15:35:170,Successful,-,-,-,-,Berk,18,Helmond Sport O17,45,92,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Pass,00:15:39:400,Unsuccessful,Basic,-,-,High,Berk,18,Helmond Sport O17,37,97,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Pass,00:15:47:190,Successful,Throw-in,-,-,Low,Senn Talakua,2,Den Bosch O17,46,97,-,Sufyan van Daalen,10,30,90,-,-,-,-,-,-,-16,-7,17,-156.4,backward
Pass,00:15:49:800,Unsuccessful,Basic,-,-,High,Sufyan van Daalen,10,Den Bosch O17,30,87,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:15:50:750,Successful,-,-,-,-,Rayen S.,6,Helmond Sport O17,29,81,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:15:51:870,Unsuccessful,Basic,-,-,High,Rayen S.,6,Helmond Sport O17,28,83,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:15:52:830,Successful,-,-,-,-,Sufyan van Daalen,10,Den Bosch O17,27,85,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Defensive Action,00:15:53:160,Unsuccessful,-,-,-,-,Loek,17,Helmond Sport O17,28,87,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Pass,00:15:54:660,Successful,Basic,-,-,High,Sufyan van Daalen,10,Den Bosch O17,30,87,-,Rayaan Lakbibchi,8,40,82,-,-,-,-,-,-,10,-5,11,-26.6,forward
Pass,00:15:58:780,Successful,Basic,-,-,High,Rayaan Lakbibchi,8,Den Bosch O17,36,59,-,Luc Lombo,18,35,23,-,-,-,-,-,-,-1,-36,36,-91.6,lateral
Pass,00:16:01:310,Unsuccessful,Basic,-,-,Medium,Luc Lombo,18,Den Bosch O17,32,20,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:16:03:100,Successful,-,-,-,-,Wessel,4,Helmond Sport O17,18,24,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:16:06:080,Unsuccessful,Basic,-,-,High,Wessel,4,Helmond Sport O17,10,4,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:16:07:580,Successful,-,-,-,-,Luc Lombo,18,Den Bosch O17,29,4,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Duel,00:16:07:580,Won,Ground,-,-,-,Luc Lombo,18,Den Bosch O17,29,4,-,-,-,-,-,-,-,-,-,-,-,,,,,
Duel,00:16:07:580,Lost,Ground,-,-,-,Max,20,Helmond Sport O17,29,4,-,-,-,-,-,-,-,-,-,-,-,,,,,
Pass,00:16:07:610,Successful,Basic,-,-,High,Luc Lombo,18,Den Bosch O17,28,5,-,Hassan Mustafa,20,28,12,-,-,-,-,-,-,0,7,7,90.0,lateral
Pass,00:16:11:710,Successful,Basic,-,-,High,Hassan Mustafa,20,Den Bosch O17,29,4,-,Luc Lombo,18,39,4,-,-,-,-,-,-,10,0,10,0.0,forward
Pass,00:16:13:310,Successful,Basic,-,-,Medium,Luc Lombo,18,Den Bosch O17,38,9,-,Rayaan Lakbibchi,8,37,16,-,-,-,-,-,-,-1,7,7,98.1,lateral
Pass,00:16:14:140,Successful,Basic,-,-,High,Rayaan Lakbibchi,8,Den Bosch O17,38,15,-,Jasper Riemersma,3,48,7,-,-,-,-,-,-,10,-8,13,-38.7,forward
Pass,00:16:16:870,Successful,Basic,-,-,Medium,Jasper Riemersma,3,Den Bosch O17,48,10,-,Huib Alberts,15,56,39,-,-,-,-,-,-,8,29,30,74.6,lateral
Pass,00:16:21:670,Successful,Basic,-,-,High,Huib Alberts,15,Den Bosch O17,52,44,-,Hassan Mustafa,20,47,31,-,-,-,-,-,-,-5,-13,14,-111.0,lateral
Pass,00:16:24:100,Successful,Basic,-,-,High,Hassan Mustafa,20,Den Bosch O17,48,36,-,Huib Alberts,15,56,48,-,-,-,-,-,-,8,12,14,56.3,lateral
Pass,00:16:26:690,Successful,Basic,-,-,High,Huib Alberts,15,Den Bosch O17,55,57,-,Senn Talakua,2,48,94,-,-,-,-,-,-,-7,37,38,100.7,lateral
Pass,00:16:31:120,Successful,Basic,-,-,High,Senn Talakua,2,Den Bosch O17,51,81,-,Rayaan Lakbibchi,8,52,70,-,-,-,-,-,-,1,-11,11,-84.8,lateral
Pass,00:16:33:670,Successful,Basic,-,-,High,Rayaan Lakbibchi,8,Den Bosch O17,52,67,-,Luc Lombo,18,37,4,-,-,-,-,-,-,-15,-63,65,-103.4,lateral
Pass,00:16:40:040,Successful,Basic,-,-,Medium,Luc Lombo,18,Den Bosch O17,36,12,-,Rayaan Lakbibchi,8,36,29,-,-,-,-,-,-,0,17,17,90.0,lateral
Pass,00:16:41:220,Successful,Basic,-,-,Medium,Rayaan Lakbibchi,8,Den Bosch O17,36,25,-,Luc Lombo,18,44,6,-,-,-,-,-,-,8,-19,21,-67.2,lateral
Pass,00:16:43:730,Successful,Basic,-,-,Medium,Luc Lombo,18,Den Bosch O17,46,9,-,Jasper Riemersma,3,60,13,-,-,-,-,-,-,14,4,15,16.0,forward
Pass,00:16:46:310,Successful,Basic,-,-,Medium,Jasper Riemersma,3,Den Bosch O17,59,23,-,Huib Alberts,15,62,57,-,-,-,-,-,-,3,34,34,85.0,lateral
Pass,00:16:49:480,Successful,Basic,-,-,Medium,Huib Alberts,15,Den Bosch O17,60,63,-,Hassan Mustafa,20,49,64,-,-,-,-,-,-,-11,1,11,174.8,backward
Pass,00:16:51:600,Successful,Basic,-,-,Medium,Hassan Mustafa,20,Den Bosch O17,51,71,-,Senn Talakua,2,45,94,-,-,-,-,-,-,-6,23,24,104.6,lateral
Pass,00:16:54:440,Successful,Basic,-,-,Medium,Senn Talakua,2,Den Bosch O17,48,90,-,Huib Alberts,15,73,66,-,-,-,-,-,-,25,-24,35,-43.8,forward
Pass,00:16:58:160,Successful,Basic,-,-,Low,Huib Alberts,15,Den Bosch O17,74,63,-,Jasper Riemersma,3,68,28,-,-,-,-,-,-,-6,-35,36,-99.7,lateral
Pass,00:17:01:860,Successful,Basic,-,-,Low,Jasper Riemersma,3,Den Bosch O17,67,23,-,Luc Lombo,18,54,6,-,-,-,-,-,-,-13,-17,21,-127.4,lateral
Pass,00:17:06:450,Successful,Basic,-,-,High,Luc Lombo,18,Den Bosch O17,44,12,-,Thijs Mendonca,22,37,18,-,-,-,-,-,-,-7,6,9,139.4,backward
Defensive Action,00:17:08:440,Successful,-,-,-,-,Wessel,4,Helmond Sport O17,34,21,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Pass,00:17:08:750,Successful,Basic,-,-,High,Wessel,4,Helmond Sport O17,34,22,-,Loek,17,36,36,-,-,-,-,-,-,2,14,14,81.9,lateral
Pass,00:17:11:700,Successful,Basic,-,-,Medium,Loek,17,Helmond Sport O17,39,38,-,Berk,18,46,57,-,-,-,-,-,-,7,19,20,69.8,lateral
Pass,00:17:13:720,Successful,Basic,-,-,High,Berk,18,Helmond Sport O17,41,60,-,Jorg,3,23,49,-,-,-,-,-,-,-18,-11,21,-148.6,backward
Pass,00:17:16:800,Successful,Basic,-,-,Low,Jorg,3,Helmond Sport O17,22,51,-,Nasim,23,10,52,-,-,-,-,-,-,-12,1,12,175.2,backward
Pass,00:17:19:890,Successful,Basic,-,-,Low,Nasim,23,Helmond Sport O17,12,50,-,Wessel,4,18,34,-,-,-,-,-,-,6,-16,17,-69.4,lateral
Pass,00:17:24:349,Successful,Basic,-,-,Medium,Wessel,4,Helmond Sport O17,25,30,-,Jorg,3,20,56,-,-,-,-,-,-,-5,26,26,100.9,lateral
Pass,00:17:27:060,Successful,Basic,-,-,Low,Jorg,3,Helmond Sport O17,20,55,-,Wessel,4,25,25,-,-,-,-,-,-,5,-30,30,-80.5,lateral
Pass,00:17:30:280,Successful,Basic,-,-,Medium,Wessel,4,Helmond Sport O17,30,21,-,Dani,7,46,4,-,-,-,-,-,-,16,-17,23,-46.7,lateral
Pass,00:17:32:720,Successful,Basic,-,-,High,Dani,7,Helmond Sport O17,47,6,-,Max,20,43,11,-,-,-,-,-,-,-4,5,6,128.7,lateral
Pass,00:17:35:680,Successful,Basic,-,-,High,Max,20,Helmond Sport O17,37,11,-,Wessel,4,34,4,-,-,-,-,-,-,-3,-7,8,-113.2,lateral
Pass,00:17:37:750,Successful,Basic,-,-,Medium,Wessel,4,Helmond Sport O17,36,4,-,Elvi,9,55,18,-,-,-,-,-,-,19,14,24,36.4,forward
Duel,00:17:39:600,Won,Air,-,-,-,Elvi,9,Helmond Sport O17,55,18,-,-,-,-,-,-,-,-,-,-,-,,,,,
Duel,00:17:39:600,Lost,Air,-,-,-,Jasper Riemersma,3,Den Bosch O17,55,18,-,-,-,-,-,-,-,-,-,-,-,,,,,
Pass,00:17:39:640,Unsuccessful,Basic,-,-,High,Elvi,9,Helmond Sport O17,55,19,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Pass,00:17:44:110,Successful,Basic,-,-,Low,Luc Lombo,18,Den Bosch O17,72,18,-,Kenji Viveen,16,85,33,-,-,-,-,-,-,13,15,20,49.1,lateral
Pass,00:17:47:140,Successful,Basic,-,-,Medium,Kenji Viveen,16,Den Bosch O17,83,34,-,Huib Alberts,15,82,62,-,-,-,-,-,-,-1,28,28,92.1,lateral
Pass,00:17:49:590,Successful,Basic,-,-,Medium,Huib Alberts,15,Den Bosch O17,81,64,-,Senn Talakua,2,66,93,-,-,-,-,-,-,-15,29,33,117.4,lateral
Pass,00:17:54:490,Successful,Basic,-,-,High,Senn Talakua,2,Den Bosch O17,68,83,-,Huib Alberts,15,90,80,-,-,-,-,-,-,22,-3,22,-7.8,forward
Pass,00:18:00:680,Successful,Basic,-,-,Medium,Huib Alberts,15,Den Bosch O17,86,33,-,Jasper Riemersma,3,80,52,-,-,-,-,-,-,-6,19,20,107.5,lateral
Pass,00:18:04:080,Successful,Basic,-,-,High,Hassan Mustafa,20,Den Bosch O17,76,52,-,Senn Talakua,2,71,86,-,-,-,-,-,-,-5,34,34,98.4,lateral
Pass,00:18:09:740,Unsuccessful,Through Ball,-,-,High,Senn Talakua,2,Den Bosch O17,34,88,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:18:12:950,Successful,-,-,-,-,Nasim,23,Helmond Sport O17,8,66,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Gk Distribution,00:18:15:640,Successful,-,-,-,-,Nasim,23,Helmond Sport O17,8,65,-,Keano,12,24,89,-,-,Throw,-,-,-,,,,,
Pass,00:18:19:010,Successful,Basic,-,-,Medium,Keano,12,Helmond Sport O17,23,88,-,Jorg,3,11,80,-,-,-,-,-,-,-12,-8,14,-146.3,backward
Pass,00:18:21:870,Successful,Basic,-,-,Low,Jorg,3,Helmond Sport O17,16,73,-,Wessel,4,19,35,-,-,-,-,-,-,3,-38,38,-85.5,lateral
Pass,00:18:28:370,Successful,Basic,-,-,Medium,Wessel,4,Helmond Sport O17,28,27,-,Jorg,3,22,53,-,-,-,-,-,-,-6,26,27,103.0,lateral
Pass,00:18:31:560,Successful,Basic,-,-,Medium,Jorg,3,Helmond Sport O17,25,60,-,Keano,12,30,90,-,-,-,-,-,-,5,30,30,80.5,lateral
Pass,00:18:34:640,Unsuccessful,Basic,-,-,Medium,Keano,12,Helmond Sport O17,29,89,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:18:35:760,Successful,-,-,-,-,Sufyan van Daalen,10,Den Bosch O17,35,74,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:18:35:900,Successful,Basic,-,-,High,Sufyan van Daalen,10,Den Bosch O17,35,75,-,Rayaan Lakbibchi,8,40,77,-,-,-,-,-,-,5,2,5,21.8,forward
Foul,00:18:39:020,-,-,-,-,-,Loek,17,Helmond Sport O17,42,85,-,Rayaan Lakbibchi,8,-,-,-,-,-,-,-,-,,,,,
Freekick,00:18:53:320,Successful,Pass,-,-,-,Senn Talakua,2,Den Bosch O17,45,95,-,Huib Alberts,15,64,90,-,-,-,-,-,-,,,,,
Pass,00:18:56:100,Successful,Basic,-,-,Low,Huib Alberts,15,Den Bosch O17,66,87,-,Jasper Riemersma,3,63,32,-,-,-,-,-,-,-3,-55,55,-93.1,lateral
Pass,00:19:00:500,Successful,Basic,-,-,Medium,Jasper Riemersma,3,Den Bosch O17,60,25,-,Luc Lombo,18,44,4,-,-,-,-,-,-,-16,-21,26,-127.3,lateral
Pass,00:19:05:010,Successful,Basic,-,-,High,Luc Lombo,18,Den Bosch O17,44,11,-,Hassan Mustafa,20,48,27,-,-,-,-,-,-,4,16,16,76.0,lateral
Pass,00:19:06:860,Successful,Basic,-,-,Medium,Hassan Mustafa,20,Den Bosch O17,47,28,-,Huib Alberts,15,55,48,-,-,-,-,-,-,8,20,22,68.2,lateral
Pass,00:19:09:960,Successful,Basic,-,-,Medium,Huib Alberts,15,Den Bosch O17,52,57,-,Senn Talakua,2,40,88,-,-,-,-,-,-,-12,31,33,111.2,lateral
Pass,00:19:13:340,Successful,Basic,-,-,Medium,Senn Talakua,2,Den Bosch O17,41,85,-,Hassan Mustafa,20,46,67,-,-,-,-,-,-,5,-18,19,-74.5,lateral
Pass,00:19:17:460,Successful,Basic,-,-,High,Hassan Mustafa,20,Den Bosch O17,45,74,-,Senn Talakua,2,45,95,-,-,-,-,-,-,0,21,21,90.0,lateral
Pass,00:19:19:460,Successful,Basic,-,-,High,Senn Talakua,2,Den Bosch O17,47,92,-,Kenji Viveen,16,82,63,-,-,-,-,-,-,35,-29,45,-39.6,forward
Pass,00:19:24:230,Successful,Basic,-,-,Low,Kenji Viveen,16,Den Bosch O17,77,60,-,Jasper Riemersma,3,72,37,-,-,-,-,-,-,-5,-23,24,-102.3,lateral
Pass,00:19:28:970,Successful,Basic,-,-,Medium,Jasper Riemersma,3,Den Bosch O17,72,30,-,Kenji Viveen,16,83,47,-,-,-,-,-,-,11,17,20,57.1,lateral
Pass,00:19:31:210,Successful,Basic,-,-,Low,Kenji Viveen,16,Den Bosch O17,83,48,-,Jasper Riemersma,3,76,29,-,-,-,-,-,-,-7,-19,20,-110.2,lateral
Pass,00:19:34:420,Unsuccessful,Basic,-,-,High,Jasper Riemersma,3,Den Bosch O17,68,25,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:19:36:620,Successful,-,-,-,-,Keano,12,Helmond Sport O17,36,62,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:19:36:810,Unsuccessful,Basic,-,-,Medium,Keano,12,Helmond Sport O17,36,64,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:19:38:260,Successful,-,-,-,-,Thijs Mendonca,22,Den Bosch O17,40,57,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:19:39:430,Successful,Basic,-,-,Medium,Thijs Mendonca,22,Den Bosch O17,40,48,-,Oscar Li,17,28,16,-,-,-,-,-,-,-12,-32,34,-110.6,lateral
Attacking Third Entry,00:19:41:160,-,-,-,-,-,Oscar Li,17,Den Bosch O17,28,17,-,-,-,-,-,-,Right,-,-,-,-,,,,,
Pass,00:19:44:570,Successful,Basic,-,-,High,Oscar Li,17,Den Bosch O17,25,25,-,Sufyan van Daalen,10,20,29,-,-,-,-,-,-,-5,4,6,141.3,backward
Pass,00:19:45:160,Successful,Basic,-,-,High,Sufyan van Daalen,10,Den Bosch O17,20,28,-,Oscar Li,17,26,29,-,-,-,-,-,-,6,1,6,9.5,forward
Pass,00:19:45:730,Successful,Basic,-,-,Medium,Oscar Li,17,Den Bosch O17,24,28,-,Thijs Mendonca,22,21,45,-,-,-,-,-,-,-3,17,17,100.0,lateral
Defensive Action,00:19:48:310,Unsuccessful,-,-,-,-,Rayen B.,22,Helmond Sport O17,24,51,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Pass,00:19:50:040,Successful,Basic,-,-,High,Thijs Mendonca,22,Den Bosch O17,26,50,-,Hassan Mustafa,20,28,41,-,-,-,-,-,-,2,-9,9,-77.5,lateral
Pass,00:19:50:870,Successful,Basic,-,-,High,Hassan Mustafa,20,Den Bosch O17,28,44,-,Rayaan Lakbibchi,8,32,51,-,-,-,-,-,-,4,7,8,60.3,lateral
Pass,00:19:52:570,Successful,Basic,-,-,High,Rayaan Lakbibchi,8,Den Bosch O17,34,48,-,Hassan Mustafa,20,31,41,-,-,-,-,-,-,-3,-7,8,-113.2,lateral
Pass,00:19:52:920,Successful,Basic,-,-,Medium,Hassan Mustafa,20,Den Bosch O17,32,40,-,Jasper Riemersma,3,46,34,-,-,-,-,-,-,14,-6,15,-23.2,forward
Pass,00:19:55:560,Successful,Basic,-,-,Low,Jasper Riemersma,3,Den Bosch O17,46,37,-,Huib Alberts,15,47,56,-,-,-,-,-,-,1,19,19,87.0,lateral
Pass,00:19:58:090,Successful,Basic,-,-,Medium,Huib Alberts,15,Den Bosch O17,45,54,-,Rayaan Lakbibchi,8,34,58,-,-,-,-,-,-,-11,4,12,160.0,backward
Pass,00:20:04:460,Successful,Basic,-,-,High,Rayaan Lakbibchi,8,Den Bosch O17,35,61,-,Luc Lombo,18,40,28,-,-,-,-,-,-,5,-33,33,-81.4,lateral
Pass,00:20:06:360,Successful,Basic,-,-,Medium,Luc Lombo,18,Den Bosch O17,40,30,-,Jasper Riemersma,3,52,43,-,-,-,-,-,-,12,13,18,47.3,lateral
Pass,00:20:09:530,Successful,Basic,-,-,Low,Jasper Riemersma,3,Den Bosch O17,55,44,-,Huib Alberts,15,55,66,-,-,-,-,-,-,0,22,22,90.0,lateral
Pass,00:20:12:710,Successful,Basic,-,-,High,Huib Alberts,15,Den Bosch O17,57,60,-,Jasper Riemersma,3,61,33,-,-,-,-,-,-,4,-27,27,-81.6,lateral
Pass,00:20:14:640,Successful,Basic,-,-,Medium,Jasper Riemersma,3,Den Bosch O17,62,33,-,Kenji Viveen,16,76,34,-,-,-,-,-,-,14,1,14,4.1,forward
Pass,00:20:18:090,Successful,Basic,-,-,Low,Kenji Viveen,16,Den Bosch O17,75,35,-,Jasper Riemersma,3,67,21,-,-,-,-,-,-,-8,-14,16,-119.7,lateral
Pass,00:20:21:310,Successful,Basic,-,-,High,Jasper Riemersma,3,Den Bosch O17,59,23,-,Sufyan van Daalen,10,48,27,-,-,-,-,-,-,-11,4,12,160.0,backward
Pass,00:20:22:330,Unsuccessful,Basic,-,-,High,Sufyan van Daalen,10,Den Bosch O17,48,26,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:20:22:500,Successful,-,-,-,-,Max,20,Helmond Sport O17,49,21,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:20:25:730,Unsuccessful,Basic,-,-,Medium,Max,20,Helmond Sport O17,43,26,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:20:28:470,Successful,-,-,-,-,Keyane Ait Bahmad,14,Den Bosch O17,22,49,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Penalty Box Entries,00:20:29:940,-,-,-,-,-,Keyane Ait Bahmad,14,Den Bosch O17,16,48,-,-,-,-,-,-,Center,-,-,-,-,,,,,
Dribbles,00:20:30:470,Successful,-,-,-,-,Keyane Ait Bahmad,14,Den Bosch O17,13,48,-,-,-,12,43,-,-,-,-,-,-,-1,-5,5,-101.3,lateral
Shots,00:20:32:010,On Target,In Game,-,Goal,Medium,Keyane Ait Bahmad,14,Den Bosch O17,12,38,Right Foot,-,-,-,-,-,-,-,Bottom-right,-,-,,,,,
Goal,00:20:32:050,Goal,Field Goal,-,-,-,Keyane Ait Bahmad,14,Den Bosch O17,12,38,-,Nasim,23,13,45,-,-,-,Bottom-right,-,-,,,,,
Pass,00:21:13:810,Successful,Basic,-,-,Low,Elvi,9,Helmond Sport O17,50,50,-,Loek,17,34,56,-,-,-,-,-,-,-16,6,17,159.4,backward
Pass,00:21:15:650,Successful,Basic,-,-,Medium,Loek,17,Helmond Sport O17,34,54,-,Wessel,4,28,29,-,-,-,-,-,-,-6,-25,26,-103.5,lateral
Pass,00:21:20:730,Successful,Basic,-,-,Medium,Wessel,4,Helmond Sport O17,35,28,-,Jorg,3,30,56,-,-,-,-,-,-,-5,28,28,100.1,lateral
Pass,00:21:24:560,Successful,Basic,-,-,Medium,Jorg,3,Helmond Sport O17,32,57,-,Wessel,4,37,26,-,-,-,-,-,-,5,-31,31,-80.8,lateral
Pass,00:21:28:370,Successful,Basic,-,-,Medium,Wessel,4,Helmond Sport O17,44,23,-,Max,20,53,24,-,-,-,-,-,-,9,1,9,6.3,forward
Pass,00:21:30:010,Successful,Basic,-,-,High,Max,20,Helmond Sport O17,53,20,-,Dani,7,53,4,-,-,-,-,-,-,0,-16,16,-90.0,lateral
Pass,00:21:31:040,Unsuccessful,Basic,-,-,Medium,Dani,7,Helmond Sport O17,55,7,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:21:31:280,Unsuccessful,-,-,-,-,Hassan Mustafa,20,Den Bosch O17,56,18,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Duel,00:21:32:480,Won,Ground,-,-,-,Max,20,Helmond Sport O17,55,18,-,-,-,-,-,-,-,-,-,-,-,,,,,
Duel,00:21:32:480,Lost,Ground,-,-,-,Thijs Mendonca,22,Den Bosch O17,55,18,-,-,-,-,-,-,-,-,-,-,-,,,,,
Pass,00:21:35:690,Successful,Basic,-,-,High,Max,20,Helmond Sport O17,59,11,-,Dani,7,57,4,-,-,-,-,-,-,-2,-7,7,-106.0,lateral
Lost Possession,00:21:36:870,-,-,-,-,-,Dani,7,Helmond Sport O17,61,4,-,-,-,-,-,-,-,-,-,-,-,,,,,
Pass,00:21:47:560,Successful,Throw-in,-,-,Low,Luc Lombo,18,Den Bosch O17,64,4,-,Jasper Riemersma,3,74,9,-,-,-,-,-,-,10,5,11,26.6,forward
Pass,00:21:51:430,Successful,Basic,-,-,Medium,Jasper Riemersma,3,Den Bosch O17,76,11,-,Kenji Viveen,16,91,30,-,-,-,-,-,-,15,19,24,51.7,lateral
Pass,00:21:55:680,Successful,Basic,-,-,Medium,Kenji Viveen,16,Den Bosch O17,88,31,-,Keyane Ait Bahmad,14,36,82,-,-,-,-,-,-,-52,51,73,135.6,backward
Lost Possession,00:22:00:630,-,-,-,-,-,Keyane Ait Bahmad,14,Den Bosch O17,33,83,-,-,-,-,-,-,-,-,-,-,-,,,,,
Duel,00:22:02:300,Won,Ground,-,-,-,Keano,12,Helmond Sport O17,24,80,-,-,-,-,-,-,-,-,-,-,-,,,,,
Duel,00:22:02:300,Lost,Ground,-,-,-,Keyane Ait Bahmad,14,Den Bosch O17,24,80,-,-,-,-,-,-,-,-,-,-,-,,,,,
Pass,00:22:02:370,Successful,Basic,-,-,High,Keano,12,Helmond Sport O17,24,79,-,Jorg,3,18,69,-,-,-,-,-,-,-6,-10,12,-121.0,lateral
Pass,00:22:03:890,Unsuccessful,Basic,-,-,High,Jorg,3,Helmond Sport O17,17,69,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Corners,00:22:43:380,Cleared,Cross,-,-,-,Thijs Mendonca,22,Den Bosch O17,2,97,-,-,-,-,-,-,Left Corner,-,-,-,-,,,,,
Defensive Action,00:22:44:850,Unsuccessful,-,-,-,-,Jorg,3,Helmond Sport O17,4,57,-,-,-,-,-,Clearance,-,-,-,-,-,,,,,
Duel,00:22:48:450,Won,Ground,-,-,-,Luc Lombo,18,Den Bosch O17,28,74,-,-,-,-,-,-,-,-,-,-,-,,,,,
Duel,00:22:48:450,Lost,Ground,-,-,-,Rayen B.,22,Helmond Sport O17,28,74,-,-,-,-,-,-,-,-,-,-,-,,,,,
Pass,00:22:48:480,Successful,Basic,-,-,High,Luc Lombo,18,Den Bosch O17,28,76,-,Rayaan Lakbibchi,8,23,85,-,-,-,-,-,-,-5,9,10,119.1,lateral
Lost Possession,00:22:49:240,-,-,-,-,-,Rayaan Lakbibchi,8,Den Bosch O17,23,83,-,-,-,-,-,-,-,-,-,-,-,,,,,
Pass,00:22:54:770,Successful,Throw-in,-,-,Low,Keano,12,Helmond Sport O17,20,93,-,Rayen S.,6,34,82,-,-,-,-,-,-,14,-11,18,-38.2,forward
Defensive Action,00:22:57:990,Successful,-,-,-,-,Thijs Mendonca,22,Den Bosch O17,34,83,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Pass,00:23:00:650,Successful,Basic,-,-,High,Luc Lombo,18,Den Bosch O17,45,85,-,Huib Alberts,15,59,74,-,-,-,-,-,-,14,-11,18,-38.2,forward
Pass,00:23:03:420,Successful,Basic,-,-,High,Huib Alberts,15,Den Bosch O17,60,67,-,Jasper Riemersma,3,63,39,-,-,-,-,-,-,3,-28,28,-83.9,lateral
Pass,00:23:07:060,Successful,Basic,-,-,Medium,Jasper Riemersma,3,Den Bosch O17,55,42,-,Luc Lombo,18,46,55,-,-,-,-,-,-,-9,13,16,124.7,lateral
Pass,00:23:08:040,Successful,Basic,-,-,Medium,Luc Lombo,18,Den Bosch O17,47,55,-,Huib Alberts,15,61,50,-,-,-,-,-,-,14,-5,15,-19.7,forward
Pass,00:23:09:900,Unsuccessful,Through Ball,-,-,Medium,Huib Alberts,15,Den Bosch O17,56,48,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:23:11:910,Successful,-,-,-,-,Wessel,4,Helmond Sport O17,32,28,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:23:12:020,Unsuccessful,Basic,-,-,High,Wessel,4,Helmond Sport O17,32,29,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
