Event,Timestamp,Result,Type,Pass Outcome,Shot outcome,Pressure,Player Name,Shirt Number,Team Name,Start Position X,Start Position Y,Foot used,Receiver Name,Receiver Shirt Number,End Position X,End Position Y,Defensive Action,Side,Distribution,Goal Location,Booking,Game_State,length_x,length_y,length_euclidean,angle_degrees,direction
Foul,00:38:14:040,-,-,-,-,-,Keyane Ait Bahmad,14,Den Bosch O17,31,85,-,Rayen B.,22,-,-,-,-,-,-,-,-,,,,,
Freekick,00:38:38:400,Successful,Pass,-,-,-,Jorg,3,Helmond Sport O17,25,90,-,Nasim,23,3,76,-,-,-,-,-,-,,,,,
Pass,00:38:42:600,Successful,Basic,-,-,High,Nasim,23,Helmond Sport O17,4,71,-,Dani,7,28,6,-,-,-,-,-,-,24,-65,69,-69.7,lateral
Foul,00:38:47:650,-,-,-,-,-,Hassan Mustafa,20,Den Bosch O17,28,7,-,Dani,7,-,-,-,-,-,-,-,-,,,,,
Freekick,00:40:25:350,Successful,Pass,-,-,-,Max,20,Helmond Sport O17,30,4,-,Elvi,9,56,25,-,-,-,-,-,-,,,,,
Duel,00:40:27:860,Won,Ground,-,-,-,Elvi,9,Helmond Sport O17,56,24,-,-,-,-,-,-,-,-,-,-,-,,,,,
Duel,00:40:27:860,Lost,Ground,-,-,-,Jasper Riemersma,3,Den Bosch O17,56,24,-,-,-,-,-,-,-,-,-,-,-,,,,,
Lost Possession,00:40:28:370,-,-,-,-,-,Elvi,9,Helmond Sport O17,54,24,-,-,-,-,-,-,-,-,-,-,-,,,,,
Pass,00:40:29:530,Unsuccessful,Basic,-,-,High,Luc Lombo,18,Den Bosch O17,53,29,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:40:30:900,Successful,-,-,-,-,Berk,18,Helmond Sport O17,55,34,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Defensive Action,00:40:32:210,Successful,-,-,-,-,Thijs Mendonca,22,Den Bosch O17,53,27,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
