Event,Timestamp,Result,Type,Pass Outcome,Shot outcome,Pressure,Player Name,Shirt Number,Team Name,Start Position X,Start Position Y,Foot used,Receiver Name,Receiver Shirt Number,End Position X,End Position Y,Defensive Action,Side,Distribution,Goal Location,Booking,Game_State
Pass,01:38:45:400,Successful,Basic,Regular,-,High,Ilias,2,FC Emmen O19,73,5,-,Rinse,16,68,10,-,-,-,-,-,-
Pass,01:38:46:480,Unsuccessful,Basic,Regular,-,High,Rinse,16,FC Emmen O19,66,8,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:38:47:620,Successful,-,-,-,-,Diaz Baars,5,AFC O19,56,4,-,-,-,-,-,Interception,-,-,-,-,-
Defensive Action,01:38:48:940,Unsuccessful,-,-,-,-,Rinse,16,FC Emmen O19,61,3,-,-,-,-,-,Tackle,-,-,-,-,-
Pass,01:38:50:760,Unsuccessful,Basic,Regular,-,High,Diaz Baars,5,AFC O19,60,8,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:38:52:390,Successful,-,-,-,-,Huub,8,FC Emmen O19,59,18,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:38:56:450,Successful,Basic,Regular,-,High,Huub,8,FC Emmen O19,47,2,-,Rinse,16,54,14,-,-,-,-,-,-
Pass,01:38:57:720,Unsuccessful,Basic,Regular,-,High,Rinse,16,FC Emmen O19,53,15,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:38:57:820,Unsuccessful,-,-,-,-,Aziz Akachar,8,AFC O19,52,15,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:38:59:060,Successful,Basic,Regular,-,High,Huub,8,FC Emmen O19,57,14,-,David,4,67,21,-,-,-,-,-,-
Pass,01:39:01:260,Successful,Basic,Regular,-,Medium,David,4,FC Emmen O19,71,25,-,Kevin,1,89,45,-,-,-,-,-,-
Pass,01:39:07:330,Unsuccessful,Basic,Regular,-,Medium,Kevin,1,FC Emmen O19,86,50,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:39:10:340,Successful,-,-,-,-,Ilyas Kacen,16,AFC O19,41,69,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:39:10:440,Unsuccessful,Basic,Regular,-,High,Ilyas Kacen,16,AFC O19,42,70,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:39:11:260,Successful,-,-,-,-,Enzo,5,FC Emmen O19,52,73,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:39:11:370,Unsuccessful,Basic,Regular,-,High,Enzo,5,FC Emmen O19,52,71,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:39:12:690,Successful,-,-,-,-,Ilyas Kacen,16,AFC O19,36,70,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:39:12:770,Unsuccessful,Basic,Regular,-,High,Ilyas Kacen,16,AFC O19,38,70,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:39:14:090,Successful,-,-,-,-,Enzo,5,FC Emmen O19,46,65,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:39:15:860,Unsuccessful,Basic,Regular,-,High,Enzo,5,FC Emmen O19,47,54,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:39:17:210,Successful,-,-,-,-,Diaz Baars,5,AFC O19,35,30,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:39:21:040,Unsuccessful,Basic,Regular,-,Medium,Diaz Baars,5,AFC O19,45,19,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:39:23:010,Successful,-,-,-,-,David,4,FC Emmen O19,74,17,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:39:23:100,Unsuccessful,Basic,Regular,-,Medium,David,4,FC Emmen O19,72,18,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:39:25:440,Successful,-,-,-,-,Osa okunbor,9,AFC O19,67,11,-,-,-,-,-,Interception,-,-,-,-,-
Defensive Action,01:39:29:560,Unsuccessful,-,-,-,-,Ilias,2,FC Emmen O19,75,10,-,-,-,-,-,Tackle,-,-,-,-,-
Foul,01:39:34:610,-,-,-,-,-,Remiyan,9,FC Emmen O19,65,5,-,Jahmani Braham,17,-,-,-,-,-,-,-,-
Freekick,01:39:45:590,Successful,Pass,-,-,-,Osa okunbor,9,AFC O19,59,7,-,Jahmani Braham,17,66,4,-,-,-,-,-,-
Pass,01:39:47:820,Successful,Basic,Regular,-,High,Jahmani Braham,17,AFC O19,69,5,-,Osa okunbor,9,65,5,-,-,-,-,-,-
Defensive Action,01:39:49:500,Successful,-,-,-,-,Rinse,16,FC Emmen O19,66,7,-,-,-,-,-,Tackle,-,-,-,-,-
Off-side,01:39:52:000,-,-,-,-,-,Yvarion,11,FC Emmen O19,47,45,-,-,-,-,-,-,-,-,-,-,-
Pass,01:40:16:040,Successful,Basic,Regular,-,Low,Ilyas Kacen,16,AFC O19,37,63,-,Jahmani Braham,17,65,6,-,-,-,-,-,-
Lost Possession,01:40:18:740,-,-,-,-,-,Jahmani Braham,17,AFC O19,66,8,-,-,-,-,-,-,-,-,-,-,-
Pass,01:40:21:910,Unsuccessful,Basic,Regular,-,High,Huub,8,FC Emmen O19,58,24,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:40:23:860,Successful,-,-,-,-,Prio Hamid,3,AFC O19,44,28,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:40:26:720,Successful,Basic,Regular,-,High,Prio Hamid,3,AFC O19,44,21,-,Osa okunbor,9,56,4,-,-,-,-,-,-
Pass,01:40:28:380,Successful,Basic,Regular,-,Medium,Osa okunbor,9,AFC O19,56,6,-,Diaz Baars,5,46,6,-,-,-,-,-,-
Pass,01:40:30:850,Successful,Basic,Regular,-,Medium,Diaz Baars,5,AFC O19,46,11,-,Prio Hamid,3,46,24,-,-,-,-,-,-
Pass,01:40:32:920,Successful,Basic,Regular,-,High,Prio Hamid,3,AFC O19,46,29,-,Tarik Serdar,11,80,91,-,-,-,-,-,-
Attacking Third Entry,01:40:36:830,-,-,-,-,-,Tarik Serdar,11,AFC O19,80,90,-,-,-,-,-,-,Right,-,-,-,-
Foul,01:40:43:730,-,-,-,-,-,Enzo,5,FC Emmen O19,93,89,-,Tarik Serdar,11,-,-,-,-,-,-,-,-
Freekick,01:41:22:310,Unsuccessful,Pass,-,-,-,Tarik Serdar,11,AFC O19,92,88,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:41:23:520,Successful,-,-,-,-,Kevin,1,FC Emmen O19,97,50,-,-,-,-,-,Interception,-,-,-,-,-
Gk Distribution,01:41:30:740,Unsuccessful,-,-,-,-,Kevin,1,FC Emmen O19,85,46,-,-,-,-,-,-,-,Kick,-,-,-
Defensive Action,01:41:34:650,Successful,-,-,-,-,Tristan Harrevelt,14,AFC O19,35,45,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:41:34:740,Successful,Basic,Regular,-,High,Tristan Harrevelt,14,AFC O19,36,46,-,Nicolai de Kort,15,47,45,-,-,-,-,-,-
Pass,01:41:37:520,Successful,Basic,Regular,-,High,Nicolai de Kort,15,AFC O19,48,43,-,Tarik Serdar,11,55,34,-,-,-,-,-,-
Foul,01:41:39:090,-,-,-,-,-,David,4,FC Emmen O19,56,28,-,Tarik Serdar,11,-,-,-,-,-,-,-,-
Freekick,01:41:50:660,Successful,Pass,-,-,-,Tarik Serdar,11,AFC O19,56,29,-,Osa okunbor,9,66,5,-,-,-,-,-,-
Pass,01:41:56:760,Unsuccessful,Cross,Regular,-,High,Osa okunbor,9,AFC O19,69,18,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:41:58:830,Successful,-,-,-,-,Kevin,1,FC Emmen O19,93,59,-,-,-,-,-,Interception,-,-,-,-,-
Gk Distribution,01:42:02:230,Unsuccessful,-,-,-,-,Kevin,1,FC Emmen O19,88,63,-,-,-,-,-,-,-,Kick,-,-,-
Defensive Action,01:42:05:770,Successful,-,-,-,-,Diaz Baars,5,AFC O19,30,48,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:42:05:930,Successful,Basic,Regular,-,High,Diaz Baars,5,AFC O19,29,47,-,Storm Huijsman,20,14,48,-,-,-,-,-,-
Gk Distribution,01:42:13:680,Unsuccessful,-,-,-,-,Storm Huijsman,20,AFC O19,15,65,-,-,-,-,-,-,-,Kick,-,-,-
Defensive Action,01:42:17:490,Successful,-,-,-,-,Raff,3,FC Emmen O19,74,65,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:42:17:620,Unsuccessful,Basic,Regular,-,Medium,Raff,3,FC Emmen O19,74,68,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:42:19:340,Successful,-,-,-,-,Aziz Akachar,8,AFC O19,72,77,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:42:21:650,Successful,Basic,Regular,-,High,Aziz Akachar,8,AFC O19,74,75,-,Nicolai de Kort,15,71,68,-,-,-,-,-,-
Pass,01:42:22:440,Successful,Basic,Regular,-,High,Nicolai de Kort,15,AFC O19,72,69,-,Aziz Akachar,8,73,86,-,-,-,-,-,-
Pass,01:42:26:340,Unsuccessful,Basic,Regular,-,High,Aziz Akachar,8,AFC O19,63,77,-,-,-,-,-,-,-,-,-,-,-
Duel,01:42:27:160,Won,Ground,-,-,-,Lars,17,FC Emmen O19,56,67,-,-,-,-,-,-,-,-,-,-,-
Duel,01:42:27:160,Lost,Ground,-,-,-,Ilyas Kacen,16,AFC O19,56,67,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:42:27:200,Successful,-,-,-,-,Lars,17,FC Emmen O19,56,67,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:42:27:350,Unsuccessful,Basic,Regular,-,High,Lars,17,FC Emmen O19,57,69,-,-,-,-,-,-,-,-,-,-,-
Duel,01:42:28:120,Won,Ground,-,-,-,Ilyas Kacen,16,AFC O19,56,70,-,-,-,-,-,-,-,-,-,-,-
Duel,01:42:28:120,Lost,Ground,-,-,-,Yvarion,11,FC Emmen O19,56,70,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:42:28:160,Successful,-,-,-,-,Ilyas Kacen,16,AFC O19,55,71,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:42:28:320,Successful,Basic,Regular,-,High,Ilyas Kacen,16,AFC O19,56,70,-,Tarik Serdar,11,74,87,-,-,-,-,-,-
Attacking Third Entry,01:42:31:120,-,-,-,-,-,Tarik Serdar,11,AFC O19,75,87,-,-,-,-,-,-,Right,-,-,-,-
Pass,01:42:48:980,Successful,Basic,Regular,-,Medium,Tarik Serdar,11,AFC O19,93,84,-,Jahmani Braham,17,81,58,-,-,-,-,-,-
Pass,01:42:54:030,Unsuccessful,Through Ball,Regular,-,High,Jahmani Braham,17,AFC O19,83,42,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:42:55:620,Successful,-,-,-,-,Kevin,1,FC Emmen O19,95,53,-,-,-,-,-,Interception,-,-,-,-,-
Gk Distribution,01:43:07:620,Successful,-,-,-,-,Kevin,1,FC Emmen O19,85,49,-,Enzo,5,62,81,-,-,Throw,-,-,-
Pass,01:43:12:800,Unsuccessful,Basic,Regular,-,High,Enzo,5,FC Emmen O19,58,67,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:43:16:970,Successful,-,-,-,-,Storm Huijsman,20,AFC O19,21,62,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:43:21:560,Successful,Basic,Regular,-,Medium,Storm Huijsman,20,AFC O19,28,65,-,Tarik Serdar,11,53,40,-,-,-,-,-,-
Pass,01:43:24:780,Unsuccessful,Basic,Regular,-,Medium,Tarik Serdar,11,AFC O19,47,42,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:43:24:920,Unsuccessful,-,-,-,-,Rinse,16,FC Emmen O19,52,42,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:43:26:630,Successful,Basic,Regular,-,Medium,Tarik Serdar,11,AFC O19,48,38,-,Osa okunbor,9,58,5,-,-,-,-,-,-
Pass,01:43:30:650,Successful,Basic,Regular,-,High,Osa okunbor,9,AFC O19,60,8,-,Tarik Serdar,11,58,15,-,-,-,-,-,-
Pass,01:43:31:320,Successful,Basic,Regular,-,High,Tarik Serdar,11,AFC O19,59,11,-,Osa okunbor,9,74,8,-,-,-,-,-,-
Attacking Third Entry,01:43:33:390,-,-,-,-,-,Osa okunbor,9,AFC O19,74,8,-,-,-,-,-,-,Left,-,-,-,-
Lost Possession,01:43:33:610,-,-,-,-,-,Osa okunbor,9,AFC O19,76,10,-,-,-,-,-,-,-,-,-,-,-
Pass,01:43:34:380,Successful,Basic,Regular,-,High,David,4,FC Emmen O19,80,20,-,Remiyan,9,61,9,-,-,-,-,-,-
Pass,01:43:36:280,Unsuccessful,Basic,Regular,-,Medium,Remiyan,9,FC Emmen O19,63,10,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:43:36:450,Unsuccessful,-,-,-,-,Tarik Serdar,11,AFC O19,66,11,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:43:39:160,Successful,Basic,Regular,-,High,Remiyan,9,FC Emmen O19,62,19,-,Daan,21,57,20,-,-,-,-,-,-
Pass,01:43:39:940,Unsuccessful,Basic,Regular,-,High,Daan,21,FC Emmen O19,58,21,-,-,-,-,-,-,-,-,-,-,-
Duel,01:43:40:930,Won,Ground,-,-,-,Nicolai de Kort,15,AFC O19,57,28,-,-,-,-,-,-,-,-,-,-,-
Duel,01:43:40:930,Lost,Ground,-,-,-,Remiyan,9,FC Emmen O19,57,28,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:43:40:970,Successful,-,-,-,-,Nicolai de Kort,15,AFC O19,58,28,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:43:42:040,Successful,Basic,Regular,-,High,Nicolai de Kort,15,AFC O19,58,25,-,Tarik Serdar,11,56,18,-,-,-,-,-,-
Pass,01:43:47:170,Successful,Basic,Regular,-,High,Tarik Serdar,11,AFC O19,56,18,-,Osa okunbor,9,63,4,-,-,-,-,-,-
Dribbles,01:43:48:980,Successful,-,-,-,-,Osa okunbor,9,AFC O19,62,7,-,-,-,64,6,-,-,-,-,-,-
Pass,01:43:51:810,Successful,Basic,Regular,-,High,Osa okunbor,9,AFC O19,78,8,-,Aziz Akachar,8,79,22,-,-,-,-,-,-
Pass,01:43:59:840,Successful,Basic,Regular,-,High,Aziz Akachar,8,AFC O19,67,8,-,Diaz Baars,5,75,6,-,-,-,-,-,-
Attacking Third Entry,01:44:01:110,-,-,-,-,-,Diaz Baars,5,AFC O19,75,8,-,-,-,-,-,-,Left,-,-,-,-
Pass,01:44:02:690,Unsuccessful,Cross,Regular,-,Medium,Diaz Baars,5,AFC O19,88,6,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:44:05:020,Successful,-,-,-,-,David,4,FC Emmen O19,90,42,-,-,-,-,-,Clearance,-,-,-,-,-
Pass,01:44:06:960,Unsuccessful,Basic,Regular,-,High,Yvarion,11,FC Emmen O19,74,46,-,-,-,-,-,-,-,-,-,-,-
Pass,01:44:19:920,Successful,Basic,Key,-,High,Nicolai de Kort,15,AFC O19,80,63,-,Tarik Serdar,11,75,52,-,-,-,-,-,-
Defensive Action,01:44:22:510,Unsuccessful,-,-,-,-,Daan,21,FC Emmen O19,73,46,-,-,-,-,-,Tackle,-,-,-,-,-
Shots,01:44:26:420,On Target,In Game,-,No Goal,Medium,Tarik Serdar,11,AFC O19,75,46,Right Foot,-,-,-,-,-,-,-,Middle-center,-,-
Gk Saves,01:44:27:790,-,High Saves,-,-,-,Kevin,1,FC Emmen O19,97,50,-,-,-,-,-,-,-,-,-,-,-
Gk Distribution,01:44:38:780,Successful,-,-,-,-,Kevin,1,FC Emmen O19,84,47,-,Lars,17,18,51,-,-,Kick,-,-,-
Duel,01:44:43:210,Won,Ground,-,-,-,Daan,21,FC Emmen O19,17,49,-,-,-,-,-,-,-,-,-,-,-
Duel,01:44:43:210,Lost,Ground,-,-,-,Diaz Baars,5,AFC O19,17,49,-,-,-,-,-,-,-,-,-,-,-
Attacking Third Entry,01:44:43:280,-,-,-,-,-,Lars,17,FC Emmen O19,18,50,-,-,-,-,-,-,Center,-,-,-,-
Shots,01:44:43:360,Off Target,In Game,-,No Goal,High,Lars,17,FC Emmen O19,17,49,Right Foot,-,-,-,-,-,-,-,Bottom-right,-,-
Gk Distribution,01:45:03:740,Unsuccessful,-,-,-,-,Storm Huijsman,20,AFC O19,5,47,-,-,-,-,-,-,-,Kick,-,-,-
Defensive Action,01:45:07:030,Successful,-,-,-,-,Raff,3,FC Emmen O19,60,42,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:45:07:130,Unsuccessful,Basic,Regular,-,Medium,Raff,3,FC Emmen O19,59,41,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:45:10:070,Successful,-,-,-,-,Prio Hamid,3,AFC O19,33,33,-,-,-,-,-,Interception,-,-,-,-,-
Duel,01:45:10:080,Won,Ground,-,-,-,Diaz Baars,5,AFC O19,34,32,-,-,-,-,-,-,-,-,-,-,-
Duel,01:45:10:080,Lost,Ground,-,-,-,Remiyan,9,FC Emmen O19,34,32,-,-,-,-,-,-,-,-,-,-,-
Pass,01:45:10:170,Unsuccessful,Basic,Regular,-,High,Prio Hamid,3,AFC O19,34,35,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:45:11:770,Successful,-,-,-,-,Lars,17,FC Emmen O19,35,36,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:45:12:450,Unsuccessful,Basic,Regular,-,High,Lars,17,FC Emmen O19,34,36,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:45:12:720,Unsuccessful,-,-,-,-,Diaz Baars,5,AFC O19,31,36,-,-,-,-,-,Interception,-,-,-,-,-
Attacking Third Entry,01:45:14:250,-,-,-,-,-,Lars,17,FC Emmen O19,27,45,-,-,-,-,-,-,Center,-,-,-,-
Pass,01:45:14:360,Successful,Basic,Regular,-,High,Lars,17,FC Emmen O19,26,46,-,Yvarion,11,22,66,-,-,-,-,-,-
Defensive Action,01:45:22:190,Successful,-,-,-,-,Ilyas Kacen,16,AFC O19,8,83,-,-,-,-,-,Tackle,-,-,-,-,-
Pass,01:45:23:730,Unsuccessful,Basic,Regular,-,High,Ilyas Kacen,16,AFC O19,7,93,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:45:25:730,Successful,-,-,-,-,Enzo,5,FC Emmen O19,31,81,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:45:26:370,Successful,Basic,Regular,-,High,Enzo,5,FC Emmen O19,32,79,-,Rinse,16,35,69,-,-,-,-,-,-
Pass,01:45:27:900,Successful,Basic,Regular,-,High,Enzo,5,FC Emmen O19,34,66,-,Yvarion,11,22,67,-,-,-,-,-,-
Attacking Third Entry,01:45:28:620,-,-,-,-,-,Yvarion,11,FC Emmen O19,23,69,-,-,-,-,-,-,Center,-,-,-,-
Pass,01:45:30:550,Successful,Basic,Regular,-,High,Yvarion,11,FC Emmen O19,21,64,-,Lars,17,21,54,-,-,-,-,-,-
Lost Possession,01:45:31:680,-,-,-,-,-,Lars,17,FC Emmen O19,23,53,-,-,-,-,-,-,-,-,-,-,-
Pass,01:45:34:180,Unsuccessful,Basic,Regular,-,High,Diaz Baars,5,AFC O19,28,31,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:45:37:340,Successful,-,-,-,-,David,4,FC Emmen O19,66,27,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:45:37:420,Successful,Basic,Regular,-,Medium,David,4,FC Emmen O19,67,27,-,Kevin,1,88,45,-,-,-,-,-,-
Pass,01:45:40:780,Unsuccessful,Basic,Regular,-,Medium,Kevin,1,FC Emmen O19,90,44,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:45:42:570,Successful,-,-,-,-,Noach Shenkman,6,AFC O19,56,42,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:45:42:690,Successful,Basic,Regular,-,Medium,Noach Shenkman,6,AFC O19,57,40,-,Jahmani Braham,17,62,26,-,-,-,-,-,-
Pass,01:45:49:310,Successful,Basic,Regular,-,High,Jahmani Braham,17,AFC O19,47,10,-,Storm Huijsman,20,17,31,-,-,-,-,-,-
Pass,01:45:53:830,Unsuccessful,Basic,Regular,-,Low,Storm Huijsman,20,AFC O19,19,31,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:45:56:930,Successful,-,-,-,-,Ilias,2,FC Emmen O19,64,10,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:45:57:040,Unsuccessful,Basic,Regular,-,High,Ilias,2,FC Emmen O19,63,11,-,-,-,-,-,-,-,-,-,-,-
Duel,01:45:58:670,Won,Ground,-,-,-,Diaz Baars,5,AFC O19,52,16,-,-,-,-,-,-,-,-,-,-,-
Duel,01:45:58:670,Lost,Ground,-,-,-,Remiyan,9,FC Emmen O19,52,16,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:45:58:710,Successful,-,-,-,-,Diaz Baars,5,AFC O19,52,15,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:45:58:850,Successful,Basic,Regular,-,High,Diaz Baars,5,AFC O19,54,15,-,Tarik Serdar,11,60,24,-,-,-,-,-,-
Pass,01:46:01:430,Successful,Basic,Regular,-,High,Tarik Serdar,11,AFC O19,61,25,-,Osa okunbor,9,74,5,-,-,-,-,-,-
Attacking Third Entry,01:46:05:110,-,-,-,-,-,Osa okunbor,9,AFC O19,75,6,-,-,-,-,-,-,Left,-,-,-,-
Pass,01:46:07:180,Successful,Basic,Regular,-,Medium,Osa okunbor,9,AFC O19,82,8,-,Noach Shenkman,6,88,29,-,-,-,-,-,-
Penalty Box Entries,01:46:08:110,-,-,-,-,-,Noach Shenkman,6,AFC O19,89,30,-,-,-,-,-,-,Left,-,-,-,-
Defensive Action,01:46:08:310,Successful,-,-,-,-,David,4,FC Emmen O19,88,30,-,-,-,-,-,Tackle,-,-,-,-,-
Defensive Action,01:46:09:610,Successful,-,-,-,-,Daan,21,FC Emmen O19,86,31,-,-,-,-,-,Clearance,-,-,-,-,-
Shots,01:46:13:330,On Target,In Game,-,No Goal,Medium,Ilyas Kacen,16,AFC O19,72,61,Right Foot,-,-,-,-,-,-,-,Bottom-center,-,-
Gk Saves,01:46:14:410,-,Low Saves,-,-,-,Kevin,1,FC Emmen O19,97,52,-,-,-,-,-,-,-,-,-,-,-
Gk Distribution,01:46:27:160,Unsuccessful,-,-,-,-,Kevin,1,FC Emmen O19,87,44,-,-,-,-,-,-,-,Kick,-,-,-
Defensive Action,01:46:30:330,Successful,-,-,-,-,Prio Hamid,3,AFC O19,33,54,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:46:30:410,Successful,Basic,Regular,-,High,Prio Hamid,3,AFC O19,34,52,-,Noach Shenkman,6,44,54,-,-,-,-,-,-
Pass,01:46:31:590,Unsuccessful,Basic,Regular,-,High,Noach Shenkman,6,AFC O19,45,55,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:46:32:710,Successful,-,-,-,-,Raff,3,FC Emmen O19,58,58,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:46:32:810,Unsuccessful,Basic,Regular,-,Medium,Raff,3,FC Emmen O19,58,57,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:46:34:640,Successful,-,-,-,-,Prio Hamid,3,AFC O19,34,58,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:46:34:740,Unsuccessful,Basic,Regular,-,High,Prio Hamid,3,AFC O19,36,59,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:46:36:250,Successful,-,-,-,-,Enzo,5,FC Emmen O19,54,67,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:46:36:330,Unsuccessful,Basic,Regular,-,High,Enzo,5,FC Emmen O19,54,66,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:46:38:020,Successful,-,-,-,-,Diaz Baars,5,AFC O19,36,39,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:46:38:050,Successful,Basic,Regular,-,High,Diaz Baars,5,AFC O19,37,39,-,Aziz Akachar,8,61,55,-,-,-,-,-,-
Pass,01:46:41:050,Unsuccessful,Through Ball,Regular,-,Medium,Aziz Akachar,8,AFC O19,59,45,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:46:43:680,Successful,-,-,-,-,Kevin,1,FC Emmen O19,84,35,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:46:43:780,Unsuccessful,Basic,Regular,-,High,Kevin,1,FC Emmen O19,83,35,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:46:46:420,Successful,-,-,-,-,Osa okunbor,9,AFC O19,64,11,-,-,-,-,-,Interception,-,-,-,-,-
Lost Possession,01:46:46:820,-,-,-,-,-,Osa okunbor,9,AFC O19,64,14,-,-,-,-,-,-,-,-,-,-,-
Pass,01:46:47:530,Unsuccessful,Basic,Regular,-,High,Rinse,16,FC Emmen O19,66,20,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:46:49:240,Successful,-,-,-,-,Diaz Baars,5,AFC O19,53,25,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:46:51:370,Successful,Basic,Regular,-,Medium,Diaz Baars,5,AFC O19,56,23,-,Osa okunbor,9,68,23,-,-,-,-,-,-
Pass,01:46:53:430,Successful,Basic,Regular,-,High,Osa okunbor,9,AFC O19,68,28,-,Tarik Serdar,11,68,40,-,-,-,-,-,-
Pass,01:46:57:530,Successful,Basic,Regular,-,High,Tarik Serdar,11,AFC O19,64,30,-,Diaz Baars,5,59,16,-,-,-,-,-,-
Pass,01:46:59:880,Successful,Basic,Regular,-,Medium,Diaz Baars,5,AFC O19,62,17,-,Aziz Akachar,8,74,5,-,-,-,-,-,-
Attacking Third Entry,01:47:01:980,-,-,-,-,-,Aziz Akachar,8,AFC O19,74,6,-,-,-,-,-,-,Left,-,-,-,-
Lost Possession,01:47:06:660,-,-,-,-,-,Aziz Akachar,8,AFC O19,82,10,-,-,-,-,-,-,-,-,-,-,-
Substitute,01:47:28:240,-,Tactical,-,-,-,Yvarion,11,FC Emmen O19,47,97,-,Dardan,19,-,-,-,-,-,-,-,-
Gk Distribution,01:47:53:810,Unsuccessful,-,-,-,-,Kevin,1,FC Emmen O19,95,55,-,-,-,-,-,-,-,Kick,-,-,-
Defensive Action,01:47:55:420,Successful,-,-,-,-,Aziz Akachar,8,AFC O19,67,58,-,-,-,-,-,Interception,-,-,-,-,-
Attacking Third Entry,01:47:57:390,-,-,-,-,-,Aziz Akachar,8,AFC O19,73,54,-,-,-,-,-,-,Center,-,-,-,-
Shots,01:47:57:520,Off Target,In Game,-,No Goal,High,Aziz Akachar,8,AFC O19,74,51,Right Foot,-,-,-,-,-,-,-,Top-left,-,-
Gk Distribution,01:48:18:890,Successful,-,-,-,-,Raff,3,FC Emmen O19,96,61,-,Kevin,1,95,49,-,-,Kick,-,-,-
Pass,01:48:21:850,Unsuccessful,Basic,Regular,-,Medium,Kevin,1,FC Emmen O19,94,44,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:48:27:000,Successful,-,-,-,-,Prio Hamid,3,AFC O19,24,59,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:48:27:110,Successful,Basic,Regular,-,Medium,Prio Hamid,3,AFC O19,24,59,-,Tristan Harrevelt,14,38,72,-,-,-,-,-,-
Defensive Action,01:48:34:120,Unsuccessful,-,-,-,-,Enzo,5,FC Emmen O19,55,92,-,-,-,-,-,Tackle,-,-,-,-,-
Pass,01:48:39:500,Unsuccessful,Throw-in,Regular,-,Low,Tristan Harrevelt,14,AFC O19,65,95,-,-,-,-,-,-,-,-,-,-,-
