Event,Timestamp,Result,Type,Pass Outcome,Shot outcome,Pressure,Player Name,Shirt Number,Team Name,Start Position X,Start Position Y,Foot used,Receiver Name,Receiver Shirt Number,End Position X,End Position Y,Defensive Action,Side,Distribution,Goal Location,Booking,Game_State
Pass,01:29:04:200,Unsuccessful,Basic,Regular,-,High,Rody Schouren,19,AFC O19,36,4,-,-,-,-,-,-,-,-,-,-,-
Pass,01:29:04:340,Unsuccessful,Basic,Regular,-,High,Ilias,2,FC Emmen O19,39,4,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:29:04:350,Successful,-,-,-,-,Ilias,2,FC Emmen O19,40,4,-,-,-,-,-,Interception,-,-,-,-,-
Defensive Action,01:29:04:490,Unsuccessful,-,-,-,-,Rody Schouren,19,AFC O19,36,4,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:29:12:240,Successful,Throw-in,Regular,-,Low,Ilias,2,FC Emmen O19,35,4,-,D' Angelo,12,30,3,-,-,-,-,-,-
Attacking Third Entry,01:29:13:880,-,-,-,-,-,D' Angelo,12,FC Emmen O19,28,4,-,-,-,-,-,-,Right,-,-,-,-
Dribbles,01:29:15:140,Unsuccessful,-,-,-,-,D' Angelo,12,FC Emmen O19,21,11,-,-,-,9,14,-,-,-,-,-,-
Lost Possession,01:29:15:250,-,-,-,-,-,D' Angelo,12,FC Emmen O19,18,13,-,-,-,-,-,-,-,-,-,-,-
Gk Distribution,01:29:33:600,Successful,-,-,-,-,Diaz Baars,5,AFC O19,5,39,-,Storm Huijsman,20,2,72,-,-,Kick,-,-,-
Pass,01:29:37:380,Unsuccessful,Basic,Regular,-,High,Storm Huijsman,20,AFC O19,3,71,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:29:37:390,Unsuccessful,-,-,-,-,Remiyan,9,FC Emmen O19,4,73,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:29:49:030,Unsuccessful,Throw-in,Regular,-,Low,Tristan Harrevelt,14,AFC O19,23,96,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:29:50:850,Successful,-,-,-,-,Enzo,5,FC Emmen O19,43,89,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:29:50:960,Successful,Basic,Regular,-,Medium,Enzo,5,FC Emmen O19,42,87,-,Yvarion,11,34,94,-,-,-,-,-,-
Defensive Action,01:29:52:650,Successful,-,-,-,-,Tristan Harrevelt,14,AFC O19,33,93,-,-,-,-,-,Tackle,-,-,-,-,-
Pass,01:29:53:880,Successful,Basic,Regular,-,High,Nicolai de Kort,15,AFC O19,39,89,-,Jahmani Braham,17,53,90,-,-,-,-,-,-
Pass,01:29:56:760,Successful,Basic,Regular,-,High,Jahmani Braham,17,AFC O19,54,86,-,Nicolai de Kort,15,57,80,-,-,-,-,-,-
Defensive Action,01:29:57:610,Unsuccessful,-,-,-,-,Rinse,16,FC Emmen O19,58,78,-,-,-,-,-,Tackle,-,-,-,-,-
Freekick,01:30:09:340,Successful,Pass,-,-,-,Prio Hamid,3,AFC O19,61,83,-,Rody Schouren,19,57,30,-,-,-,-,-,-
Pass,01:30:15:260,Unsuccessful,Cross,Regular,-,Medium,Rody Schouren,19,AFC O19,59,29,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:30:17:550,Successful,-,-,-,-,Kevin,1,FC Emmen O19,92,49,-,-,-,-,-,Interception,-,-,-,-,-
Gk Distribution,01:30:20:430,Successful,-,-,-,-,Kevin,1,FC Emmen O19,86,50,-,Yvarion,11,25,76,-,-,Kick,-,-,-
Attacking Third Entry,01:30:24:330,-,-,-,-,-,Yvarion,11,FC Emmen O19,26,77,-,-,-,-,-,-,Center,-,-,-,-
Penalty Box Entries,01:30:25:760,-,-,-,-,-,Yvarion,11,FC Emmen O19,16,75,-,-,-,-,-,-,Center,-,-,-,-
Pass,01:30:27:130,Successful,Basic,Assist,-,Medium,Yvarion,11,FC Emmen O19,8,75,-,Daan,21,12,63,-,-,-,-,-,-
Shots,01:30:28:530,On Target,In Game,-,Goal,Low,Daan,21,FC Emmen O19,13,64,Right Foot,-,-,-,-,-,-,-,Top-left,-,-
Goal,01:30:28:570,Goal,Field Goal,-,-,-,Daan,21,FC Emmen O19,13,64,-,Storm Huijsman,20,3,51,-,-,-,Top-left,-,-
Pass,01:31:15:550,Successful,Basic,Regular,-,Low,Jahmani Braham,17,AFC O19,50,50,-,Nicolai de Kort,15,40,43,-,-,-,-,-,-
Pass,01:31:17:950,Unsuccessful,Basic,Regular,-,High,Nicolai de Kort,15,AFC O19,43,45,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:31:19:820,Successful,-,-,-,-,Remiyan,9,FC Emmen O19,48,46,-,-,-,-,-,Interception,-,-,-,-,-
Defensive Action,01:31:21:340,Successful,-,-,-,-,Nicolai de Kort,15,AFC O19,47,65,-,-,-,-,-,Tackle,-,-,-,-,-
Pass,01:31:21:480,Successful,Basic,Regular,-,High,Nicolai de Kort,15,AFC O19,47,68,-,Tristan Harrevelt,14,47,76,-,-,-,-,-,-
Pass,01:31:27:470,Successful,Basic,Regular,-,Medium,Tristan Harrevelt,14,AFC O19,71,71,-,Jahmani Braham,17,82,87,-,-,-,-,-,-
Attacking Third Entry,01:31:28:670,-,-,-,-,-,Jahmani Braham,17,AFC O19,82,88,-,-,-,-,-,-,Right,-,-,-,-
Pass,01:31:32:900,Unsuccessful,Cross,Regular,-,High,Jahmani Braham,17,AFC O19,95,88,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:31:33:280,Unsuccessful,-,-,-,-,Huub,8,FC Emmen O19,96,84,-,-,-,-,-,Interception,-,-,-,-,-
